trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,10,11.14210362152455,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,-100.74497976314636,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-106.43256428069152,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",35,19,-50.782610353332934,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-21.00961266898674,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,0,10.053880094664706,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",30,8,-47.81244185136242,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",35,21,-79.18254736494521,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 2}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,11,17.800109172360447,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,0,-44.30957975603524,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-1.24608551363506,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-9.321871427746203,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,0,-49.03183544059871,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",25,17,17.59646525274516,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,7,-34.04111970082345,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,10,-37.96699124335373,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,6,-35.57961090316373,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,18,1.9471508620021603,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,0,-91.58668896503035,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,0,-25.14193618310454,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,-57.052366366239504,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,15,-1.6675168416021031,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",35,19,-58.9173010253034,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,-67.07449799924927,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,8,-0.14654693206968505,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,15,-3.475065924391279,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,8.72298543520944,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,5,-52.78501729514101,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,10,15.416479542768847,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,14,21.16657650928385,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,6,7.745272575749115,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,1,16.79403008342312,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,12,-50.40592447826877,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,0,-23.4513892256167,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,2,-23.074722038019427,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,13,22.302628539172908,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,8,-27.833170159532727,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,15,1.6171517148457637,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",30,16,-63.896854640728066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,13,24.126638847015254,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,9,29.072187907861068,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,11,-40.12277729398984,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,2,15.82317444134025,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",30,19,0.06065518870474107,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,13,13.154314511543609,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,13,19.27426742367248,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,0,-13.18843444222092,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",30,0,-43.165931596209006,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,14,11.166410245963787,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,3,15.59706642372575,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,15,20.272109587435978,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,10,8.223138628498385,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,2,28.56200151017346,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,8,10.858950937378083,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
